Ref,Val,Package,PosX,PosY,Rot,Side
"R29","50R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.690000,-142.600000,-90.000000,top
"R30","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",93.440000,-107.900000,-90.000000,top
"R31","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",93.440000,-114.300000,-90.000000,top
"R32","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",93.440000,-120.900000,-90.000000,top
"R33","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",93.440000,-127.300000,-90.000000,top
"R34","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",90.640000,-107.900000,-90.000000,top
"R35","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",90.640000,-114.300000,-90.000000,top
"R36","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",90.640000,-120.900000,-90.000000,top
"R37","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",90.640000,-127.300000,-90.000000,top
"R38","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",90.640000,-133.900000,-90.000000,top
"R39","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",90.640000,-140.300000,-90.000000,top
"R40","50R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",74.090000,-142.300000,-90.000000,top
"R41","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.640000,-107.700000,-90.000000,top
"R42","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.640000,-114.300000,-90.000000,top
"R43","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.640000,-120.900000,-90.000000,top
"R44","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.640000,-127.300000,-90.000000,top
"R45","50R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",72.090000,-142.300000,-90.000000,top
"R46","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",76.840000,-107.700000,-90.000000,top
"R47","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",76.840000,-114.300000,-90.000000,top
"R48","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",76.840000,-120.900000,-90.000000,top
"R49","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",76.840000,-127.300000,-90.000000,top
"R50","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.640000,-133.900000,-90.000000,top
"R51","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",79.640000,-140.300000,-90.000000,top
"R52","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",68.240000,-107.700000,-90.000000,top
"R53","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",68.240000,-113.900000,-90.000000,top
"R54","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",68.240000,-123.900000,-90.000000,top
"R55","R","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",68.240000,-129.900000,-90.000000,top
"R56","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",75.500000,-151.362500,0.000000,top
"R57","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",85.100000,-151.362500,180.000000,top
"R58","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",128.700000,-96.200000,90.000000,top
"R59","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-96.200000,-90.000000,top
"R60","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",102.900000,-151.300000,0.000000,top
"R61","1R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",98.395000,-148.800000,-90.000000,top
"R62","1K","R_1206_3216Metric_Pad1.30x1.75mm_HandSolder",112.500000,-151.300000,180.000000,top
"R63","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",91.945000,-148.800000,90.000000,top
"R64","DNI","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",134.650000,-150.500000,180.000000,top
"R65","15R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-147.700000,0.000000,top
"R66","190R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",130.700000,-149.650000,180.000000,top
"R67","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",126.150000,-121.800000,90.000000,top
"R68","300R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",127.500000,-152.600000,-90.000000,top
"R69","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",118.650000,-106.050000,-90.000000,top
"R70","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",120.610000,-106.050000,-90.000000,top
"R71","10k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",116.700000,-106.050000,-90.000000,top
"R72","33R","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",146.505000,-118.960000,-90.000000,top
"R73","1K","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",156.081250,-128.212500,90.000000,top
"R74","1k","R_0805_2012Metric_Pad1.20x1.40mm_HandSolder",148.581250,-124.227500,90.000000,top
